"","age","TIV","rGMV","rWMV","rCSFV","sROI_bonecortex03","proxyBMD","sROI_bonethickness01","BMD_head","BMD_total","T_BMD_total","femur_BMD","sit_height","sROI_headthickness03","BMI","VAT","ASAT","fat_percent","waist","diastolic BP","systolic BP"
"T_BMD_total",-0.0507311526686023,0.112460516541119,-0.0333316229216265,0.0624233492675734,0.00469798443490435,-0.55631607110881,0.55631607110881,0.16779827130172,0.656264304807563,0.999999543998146,NA,0.73635337741351,0.14513935757441,0.415086260193324,0.316533890760991,0.228452935294612,0.287830271321085,0.257742844542339,0.286809830301967,0.00510199689216442,0.0231396102138844
"femur_BMD",-0.0570235985199672,0.0340310809410697,-0.0474498167325337,0.0578412734262008,0.0143412990123889,-0.375769851596831,0.375769851596831,0.0390825760822318,0.367851352233842,0.754269455385224,0.754320041280165,NA,0.187726637303905,0.335281997315063,0.29766732432403,0.21339685870896,0.292334993339973,0.250569603334118,0.266359291796974,0.0664452672559522,0.0234798958414877
"sit_height",-0.114392748564879,0.285664576964267,0.0644497089494879,0.00911089069345659,-0.0445361822898439,-0.0355720418138058,0.0355720418138058,0.0772168716924896,0.15681770294086,0.151461059992987,0.151487494148857,0.0775030041642934,NA,0.0550040636583863,-0.0400428597218801,0.0455591388063883,0.080090704084138,0.0389867207966213,0.0284715436587214,-0.00595922585595492,-0.0827179323769475
"sROI_headthickness03",0.0196427496566355,0.193893664881555,-0.179158965513884,-0.0203425951264851,0.150637523617388,-0.131513969589629,0.131513969589629,0.0584304967336467,0.213541728416917,0.323547917252269,0.323530085885066,0.259965206099989,0.157514473872878,NA,0.622345959277283,0.651290491316826,0.64271663256733,0.603951873849162,0.669590295212069,0.185970688360605,0.170142407794692
"BMI",0.0223498365563688,0.0813188233103117,-0.198743288327812,-0.0579267112799805,0.178705951539163,0.051218385754975,-0.051218385754975,0.107889194083621,0.0635747977329941,0.285923835546664,0.285945224534833,0.30105111964017,-0.0190233444901713,0.626067297040808,NA,0.669219895993538,0.798188436417609,0.745019762281624,0.765757291368833,0.187127413224141,0.190110493666309
"VAT",0.107047184970136,0.0975325571525728,-0.150447809524543,-0.125920258851128,0.176755756806742,0.135311894672169,-0.135311894672169,0.141202953145038,-0.0424165727202841,0.182922081638976,0.18293574852391,0.192718092122837,0.149996682045388,0.599791050349157,0.661941624502537,NA,0.808826582718169,0.806081899783747,0.82780384869768,0.255965493693135,0.209793084999506
"ASAT",0.0188998270215712,0.124037452057404,-0.131890019230673,-0.0782702985268599,0.141060528038809,0.0882088664628784,-0.0882088664628784,0.167571146436538,0.0294976568224024,0.182071138502798,0.182073237402223,0.164294781008349,0.136973945268311,0.607025126374918,0.728060676496722,0.731967351705489,NA,0.892806202480124,0.836650930811884,0.229870308179526,0.178465230687295
"fat_percent",0.0850659774462905,0.00766857869809954,-0.117994844993868,-0.0953803154078912,0.143946794238894,0.137584131467083,-0.137584131467083,0.167467544133955,-0.049441852754588,0.108258311396529,0.10824495917989,0.124389597744101,-0.000995620403607707,0.533035725717677,0.677311208234207,0.78769186807635,0.827168914259874,NA,0.822699788402005,0.237642090493057,0.153453199242217
"waist",0.0783649571801878,0.145372963814625,-0.139254209842576,-0.0983229534592622,0.16268030756622,0.0962629328650491,-0.0962629328650491,0.165221658141146,0.0138247580880538,0.201984631378879,0.201982383662903,0.200616882403513,0.142775217333221,0.628431568495072,0.746951055036499,0.791542765116904,0.839484257871218,0.77230364066129,NA,0.227906302742627,0.192025832403441
"diastolic BP",-0.0733454666702559,0.0657443128123593,0.0102812616153974,-0.0024780799712037,-0.00613865953492618,-0.0235253711825779,0.0235253711825779,0.0107541533735554,0.0038242635002534,0.0469563289266708,0.0469809467609077,0.0338689333249846,0.0352899721824267,0.194357789129387,0.117784685714774,0.199971166451537,0.130020388664263,0.130651365318603,0.176396937003531,NA,0.615938030213854
"systolic BP",0.242394016997628,0.0144850858605605,-0.163115872126243,-0.0693529480959071,0.164289667915203,-0.0298694825709666,0.0298694825709666,-0.0138030427931642,0.0110395535156969,0.0459249369691404,0.0458688755498183,0.0497957802676133,0.0148165589071151,0.155548792785458,0.0723712126902954,0.154950395024623,0.0560460674741642,0.0557446822695166,0.124360654800335,0.574045568681689,NA
