"","sex","age","sit_height","VAT","ASAT","fat_percent","BMI","BMD_head","BMD_total","T_BMD_total","femur_BMD","tismri_volr01","tismri_volr02","tismri_volr03","tismri_TIV","tis_bone","vROI_bonecortex03","sROI_bonecortex03","main_sBMDH","sROI_bonethickness01","sROI_bonethickness02","sROI_bonethickness03","sROI_bonethickness04","sROI_bonethickness05","sROI_bonethickness06","sROI_bonethickness07","sROI_bonethickness08","sROI_bonethickness09","tis_head","sROI_headthickness01","sROI_headthickness02","sROI_headthickness03","sROI_headthickness04","sROI_headthickness05","sROI_headthickness06","sROI_headthickness07","sROI_headthickness08","sROI_headthickness09","waist","walk","moderate_PA","vigorous_PA","smoking","r_alcohol"
"sex",0,1,9.81812483977348e-120,3.23116444013084e-60,1.44711944526949e-28,2.03865305011524e-136,0.00110106616880493,0.206341710460143,2.22750552097758e-101,9.80170791538557e-11,1,1.13556257348393e-25,1,8.86032703374502e-19,4.06482047257623e-160,1,4.38125327231716e-07,1.42537877250951e-09,1.42537877250951e-09,1,0.102298563667923,4.12386253591404e-06,1,0.000399050178077994,1,0.0101894179869693,1,1.25774065089192e-12,1,1.4698186786717e-39,5.06808328271911e-06,1.96365289687617e-98,1.19355735835498e-13,1,1.3482679793716e-14,1,6.24027353077854e-19,0.931463873097246,6.83330212190057e-62,1,1,1,1,0.419746629173269
"age",0.0164971783635629,0,1,0.855169077715413,1,1,1,0.405827041183464,1,0.0127839360683363,0.00111759196892761,1.77398802490884e-65,1.90459989390319e-16,4.60982180987654e-66,1,1.54092498416114e-09,6.93862322370623e-10,3.50695378365877e-07,3.50695378365877e-07,0.730014052487135,1,0.00174254959537265,1,0.0909118954853802,0.00027013495638092,1.46525637259635e-12,1,0.418367719755959,0.0213620567753892,1,1,1,1,1,1,1,1,1,1,1,0.00048003867966378,1,1,1
"sit_height",1.08248344429697e-122,0.0100327847208344,0,2.73151262761227e-34,0.000437852811112659,1.41009322553071e-44,1,0.000192286718209016,2.60811878595856e-56,1.47124120689182e-13,0.115681180441077,0.000982077629488169,1,0.023656573105484,8.79813148531381e-90,1,1,1.25919227139199e-08,1.25919227139199e-08,1,1,8.66841290797875e-05,1,0.546375471656686,1,0.289280299458912,1,1.77990520521483e-08,1,4.44070127270484e-18,2.39220026014166e-10,6.26306498498118e-42,1.10100318637301e-14,1,0.0101926940354004,1,2.23499900587715e-18,0.0184422738239533,2.36289527275934e-34,1,1,1,1,0.359076431243303
"VAT",3.73545021980443e-63,0.001823388225406,3.33111296050277e-37,0,2.92962113443414e-42,0.00674750603673643,2.00674391308311e-115,1,8.87628987648257e-48,1.7468662200954e-17,2.43848025599267e-06,4.07736478084745e-15,0.00683658140227537,2.17079602924257e-15,8.08007723133614e-35,1,1.00166239204574e-13,0.35956936558682,0.35956936558682,0.309242851474445,1,6.36506910552507e-13,1,1,1,2.24789656707444e-06,1,1,7.48143628806203e-86,2.42025038918758e-80,4.43182583502099e-61,5.9474433234753e-118,7.58585367475315e-62,1,5.22851115186626e-08,1,1.16779899201347e-67,1,5.13483870247465e-285,1,1,1,6.58023144717789e-07,1
"ASAT",1.79320873019763e-31,0.276956417792506,7.20152649856347e-07,3.4959679408522e-45,0,1.25787114007608e-258,4.6625084987368e-112,1,1,0.0383258773008966,5.42584844254947e-08,1,1,1,9.52802429375246e-08,1,1,1,1,0.0214229756959892,0.00831681506518557,0.848989375587466,1,0.0607264831016075,1,1,1,0.0119565050250045,4.62807297686743e-105,2.50386335657539e-09,2.50591224515178e-29,0.00151402658151226,1.95972270817827e-23,1,1,1,1.39732929853003e-19,1,3.21811868414269e-52,0.022507643221996,1,1,0.0234541856174811,0.0967112169782661
"fat_percent",2.23291681283159e-139,0.552538367904809,1.67668635616018e-47,1.16136076363794e-05,1.34531672735409e-261,0,4.64296872092639e-36,1,3.14528908319622e-21,1,0.0567795467602268,9.31097855001701e-06,1,0.0172617881004383,1.73401256178718e-54,1,1,0.00494086832660966,0.00494086832660966,0.0288256244512825,1.95885970346141e-05,1,1,1.9596310028767e-05,0.836016913435219,1,1,6.09123435824353e-12,3.26994058800929e-61,1,5.62047686787864e-05,0.000418353322332843,0.493843578751096,1,0.0314664037246096,1,1,1,0.021757371060034,0.374575036526717,1,1,0.372709213444777,0.333280534094654
"BMI",1.83511028134155e-06,0.349748658354199,0.0207412966361617,2.21739658904211e-118,5.16907815824479e-115,5.63467077782329e-39,0,0.0152032970411691,1.46856372221205e-25,4.05879800068405e-24,1.73068626653925e-19,3.56456112824816e-06,1,3.5026474466111e-05,1.78508470421305e-05,1,0.22551305431594,0.792095601289516,0.792095601289516,0.0286464078970705,1,7.14062511139409e-09,1,1,1,0.0741076266656941,1,1,1.8040800686718e-69,7.95575790574675e-54,2.74917700167927e-49,5.47886279638099e-62,1.99944967102564e-45,1,0.000682922141891296,1,1.29950473317887e-45,1,2.03840296603852e-160,1,1,1,3.12289886006127e-05,0.242804042433511
"BMD_head",0.000397575550019543,0.000811654082366928,3.10640901791625e-07,0.0218853448460124,0.261247563450781,0.169429839864867,2.67193269616329e-05,0,2.77685936405301e-110,2.72781733748346e-165,2.26443563936383e-41,1,1,1,2.81419601675349e-07,4.59696060955372e-66,6.05306337493408e-49,5.45657860093814e-146,5.45657860093814e-146,3.63784990547e-17,2.88553477646742e-21,1.94064380859415e-30,3.34596149474124e-12,1,0.049857955891907,0.000190250028743107,1.22041004952878e-16,1,1,0.00629983265269671,0.000245904247213926,3.70655473572488e-08,1.82724122959696e-10,0.0248871363555754,1,1,1.40159642607947e-10,2.57911450687224e-06,0.0174611812928476,1,1,1,1,1
"BMD_total",2.48328374690923e-104,0.0231760034408991,3.03622675897388e-59,1.04796810820337e-50,0.140411367790467,3.99655537890244e-24,1.8288464784708e-28,3.08197487686239e-113,0,0,1.12523664236402e-95,6.62051651791502e-07,1,4.63517553218384e-05,9.81650830226779e-72,5.22763472604026e-34,7.39717728962009e-12,2.13565519367892e-114,2.13565519367892e-114,0.288092970140762,1,1.04809102298865e-14,1,1,1,0.00133266663958282,0.25684347770371,0.00283567741354481,1,4.86928616096507e-43,3.65069770944995e-16,2.74145539467535e-80,2.26631123042893e-29,1,1.1170115981856e-06,1,4.90580429513281e-33,0.410188850175614,7.72510587404726e-58,1,1,1,1,1
"T_BMD_total",1.36324171284918e-13,2.23886796293106e-05,1.98013621385171e-16,2.26571494175798e-20,6.99377323009062e-05,0.374766228723689,5.08621303343865e-27,2.94899171619834e-168,0,0,2.92815823738385e-165,1,1,1,4.60100988599354e-16,4.60751152983883e-69,9.44956547474788e-38,1.13655162079984e-131,1.13655162079984e-131,0.00441640149531252,0.000139901101537475,1.25866527470375e-10,1,1,1,0.204214004329225,0.173213296254127,1,0.693668658992778,1.0425365423077e-20,7.48604664838411e-13,3.50132302808024e-30,1.63640120634679e-21,1,0.945857384976531,1,5.31746314455354e-22,1,5.65862137225211e-24,1,1,1,1,1
"femur_BMD",0.45049971296343,1.86576288635662e-06,0.00021992619855718,3.67794910406135e-09,7.90940006202547e-11,0.00010456638445714,2.21598753718214e-22,2.70865507100936e-44,1.26006342929902e-98,3.16900242141109e-168,0,1,1,1,1,2.99146613805211e-36,9.31301872017636e-19,2.88667395358946e-45,2.88667395358946e-45,1,0.936076260726814,1,1,1,1,1,1,1,0.0293997981859034,5.42833016888334e-08,2.22716134546572e-07,3.08231319471479e-08,1.99904235184448e-10,1,1,1,1.83163390050933e-09,1,6.06615484790249e-09,1,1,1,1,1
"tismri_volr01",1.41239126055215e-28,2.03672563135343e-68,1.63407259482225e-06,5.40048315344033e-18,0.0922520699840574,1.43245823846416e-08,5.41726615235282e-09,0.0820491139890559,9.88136793718659e-10,0.0671334016827251,0.399713784668573,0,6.37750541723876e-13,8.71393747294109e-294,2.03017436359315e-31,0.440484852075059,0.00118898676080656,1,1,1,8.85282567324698e-12,0.0168122500328161,1,1,1,5.27789019696496e-14,1,0.0990840678564516,0.000382099101573547,6.8872207483342e-08,1,5.88159820976116e-20,9.72244596122196e-06,1,0.115770657120063,1,5.70230311745158e-08,1,2.44876610625744e-16,1,1,1,0.241783251528919,1.09600136228121e-05
"tismri_volr02",0.00873623063640487,2.48642283799372e-19,0.46848882955347,1.17872093142679e-05,0.290073136449015,0.970435610299626,0.0306487019040618,0.290510763126782,0.274494441379771,0.965612948444468,0.182874049326226,8.66508888211788e-16,0,2.28957455432233e-135,1,6.67178263694404e-05,2.64148804481779e-05,1,1,1,1,0.00862006370013467,1,1,1,2.32752227447433e-12,1,1,1.38547326388444e-11,1,1,1,0.257692269484605,1,1,7.04390426897849e-06,0.095532630673303,1,0.0625869601294895,1,1,1,1,1
"tismri_volr03",1.14032522956821e-21,5.28043735381047e-69,4.23194509937103e-05,2.85631056479286e-18,0.525204291067177,3.04440707238771e-05,5.54216368134668e-08,0.030905125349207,7.35742147965688e-08,0.105382851862282,0.295935306842664,9.27014624780967e-297,2.51049841482712e-138,0,1.0499895410056e-17,0.00208333248306115,2.57684233854712e-06,1,1,1,3.44427148402248e-08,0.000281595949168712,1,1,1,7.29771280705758e-23,1,0.0299075301509987,8.82150739891324e-12,4.02200918070432e-05,1,1.08050167634608e-14,1.31559695062516e-07,1,1,0.000350106061326903,5.91007051675185e-10,0.640730000220928,1.30967244059911e-15,1,1,1,0.00838588233215844,6.26751352412777e-05
"tismri_TIV",4.40869899411738e-163,0.123248701676135,9.88554099473462e-93,9.8297776536936e-38,1.39707101081414e-10,2.02335188073183e-57,2.78050576980226e-08,4.15686265399334e-10,1.11551230707589e-74,6.03015712450006e-19,0.00278989593503108,2.49101148907135e-34,0.345086836543546,1.3600900790228e-20,0,1,0.00240880667150645,6.86610153380912e-09,6.86610153380912e-09,0.0133179455072395,1,4.09215706041854e-19,0.000813247770712693,1,1,0.470710646205646,1.64376739997834e-05,0.263501989147731,1,5.84913809292239e-28,3.28459469410941e-05,2.01698621156445e-59,9.58271789819144e-13,1,4.17553900782063e-09,1,1.43636719112046e-16,1,2.32680926020647e-46,1,1,1,1,0.0372383962773863
"tis_bone",0.0128837158397555,2.18570919739169e-12,0.410479235921945,0.0315459824350195,0.0754905555048688,0.10728025165321,0.030207384062101,5.25968033129716e-69,6.38294838344354e-37,5.24773522760687e-72,3.62601956127529e-39,0.000889868388030423,1.06408016538182e-07,3.53107200518839e-06,0.0735274956062406,0,1.89035257957588e-229,1.38369375415948e-191,1.38369375415948e-191,1.39492188217605e-28,1.23670005507521e-11,3.74853724423382e-14,7.3404865497729e-41,6.53942701090503e-07,1.31559695062516e-07,0.00182102103981906,3.53992880281469e-33,6.78444058639994e-05,1,0.541964552003893,0.000308539011574831,1,1.7204256683236e-07,1,1,1,5.81597727759153e-07,1,1,1,1,1,1,0.892281428887973
